"id","client_id","event_name","theme_name","start_date","start_time","end_time","municipality_name","barangay_name","notes","status","created_at","updated_at"
"13","4","Birthday","Casual","2025-01-03","14:07:00","16:09:00","Liloan","Poblacion",NULL,"CANCELLED","2025-01-03 20:06:08","2025-01-04 00:30:03"
"14","4","Birthday","Disco","2025-01-03","18:21:00","20:23:00","Mandaue City","Cambaro",NULL,"COMPLETED","2025-01-03 20:15:16","2025-01-04 00:30:09"
"15","4","Concert","Rock","2025-01-03","17:32:00","18:33:00","Liloan","Jubay",NULL,"COMPLETED","2025-01-04 00:31:57","2025-01-04 00:33:43"
"16","4","Graduation","Academic Chic","2025-01-10","18:37:00","21:40:00","Liloan","Poblacion",NULL,"CANCELLED","2025-01-04 00:35:54","2025-01-07 10:29:35"
"17","4","Concert","Rock","2025-01-06","19:00:00","21:00:00","Liloan","Cotcot",NULL,"COMPLETED","2025-01-06 14:48:56","2025-01-06 14:51:48"
"18","14","Birthday","Disco","2025-01-06","07:40:00","08:00:00","Mandaue City","Umapad",NULL,"COMPLETED","2025-01-06 15:28:50","2025-01-06 16:21:31"
"19","14","Concert","Pop","2025-01-06","08:40:00","09:00:00","Mandaue City","Umapad",NULL,"COMPLETED","2025-01-06 16:36:08","2025-01-06 16:36:30"
"20","4","Holiday Party","Winter Wonderland","2025-01-15","23:39:00","23:44:00","Mandaue City","Looc",NULL,"CANCELLED","2025-01-06 17:38:16","2025-01-07 10:29:39"
"21","14","Birthday","Casual","2025-01-06","10:30:00","11:00:00","Mandaue City","Umapad",NULL,"COMPLETED","2025-01-06 18:14:59","2025-01-06 18:17:03"
"22","4","Birthday","Disco","2025-01-06","14:32:00","15:33:00","Liloan","Poblacion",NULL,"CANCELLED","2025-01-06 18:28:00","2025-01-07 10:29:24"
"23","14","Concert","Pop","2025-01-06","11:00:00","11:01:00","Mandaue City","Umapad","aw","COMPLETED","2025-01-06 18:52:10","2025-01-06 18:52:38"
"24","4","Concert","Rock","2025-01-08","14:36:00","16:38:00","Mandaue City","Opao",NULL,"CANCELLED","2025-01-06 19:33:09","2025-01-07 10:29:43"
"27","4","Birthday","Disco","2025-01-09","03:59:00","18:58:00","Liloan","Yati",NULL,"DECLINED","2025-01-06 20:03:29","2025-01-06 20:03:50"
"28","4","Graduation","Academic Chic","2025-01-17","14:09:00","17:12:00","Mandaue City","Jagobiao",NULL,"DECLINED","2025-01-06 20:06:17","2025-01-06 20:06:32"
"29","4","Reunion","Vintage","2025-01-15","17:18:00","22:15:00","Liloan","Jubay",NULL,"DECLINED","2025-01-06 20:13:32","2025-01-06 20:13:45"
"30","4","Concert","Rock","2025-01-21","15:20:00","17:22:00","Consolacion","Nangka",NULL,"DECLINED","2025-01-06 20:16:57","2025-01-06 20:17:09"
"31","4","Birthday","Disco","2025-01-23","04:39:00","07:42:00","Liloan","Lataban",NULL,"CANCELLED","2025-01-07 09:36:11","2025-01-07 09:46:18"
"32","4","Birthday","Casual","2025-01-07","06:30:00","12:30:00","Liloan","Lataban",NULL,"COMPLETED","2025-01-07 12:25:46","2025-01-07 12:31:08"
"33","4","Reunion","Nature","2025-01-07","21:09:00","23:08:00","Mandaue City","Opao",NULL,"COMPLETED","2025-01-07 14:06:51","2025-01-07 14:09:13"
"34","4","Concert","Rock","2025-01-07","07:14:00","08:14:00","Liloan","Jubay",NULL,"COMPLETED","2025-01-07 14:14:37","2025-01-07 14:29:39"
"35","4","Concert","Rock","2025-01-07","08:26:00","10:26:00","Liloan","Yati",NULL,"COMPLETED","2025-01-07 14:27:01","2025-01-07 14:32:21"
